,C=O,CN,C[NH3+],N,CS,CCl,NN,CC,[NH2+]=O,[NH4+],C1=CC=CC=C1,CF,CO,C1CCOCC1,C,C1=CC=NC=C1,CBr,[NH3+][O-]
4-Bromophenyl alpha-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,1.0,0.0
4-Ethoxyphenyl β-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
4-Propoxyphenyl β-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
2-Methoxyphenyl β-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
4-Trifluoromethoxyphenyl ß-D-galactopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,8.0,1.0,1.0,0.0,0.0,0.0
2-Acetamidophenyl β-D-galactopyranoside,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0
Ethyl 4-(β-D-galactopyranosyloxy)benzoate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0
Isopropyl 4-(ß-D-glucopyranosyloxy)benzoate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,8.0,1.0,2.0,0.0,0.0,0.0
Ethyl 4-(β-D-glucopyranosyloxy)benzoate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0
4-Pentanamidophenyl β-D-glucopyranoside,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,6.0,1.0,1.0,0.0,0.0,0.0
Methyl 3-(β-D-galactopyranosyloxy)benzoate,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0
4-Methoxyphenyl ß-D-xylopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl ß-D-mannopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
4-Methoxyphenyl α-D-Mannopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
4-(β-D-Glucopyranosyloxy)-benzoic acid,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0
4-(β-D-Galactopyranosyloxy)-benzoic acid,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0
Benzyl β-D-Glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
N-Phenyl ß-D-glucopyranoside,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
S-Phenyl-1-thio-β-D-glucopyranoside,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
4-Methoxybenzyl ß-D-glucopyranoside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0
N-(4-Methoxyphenyl)-1-ß-D-glucopyranoside,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0
