Name,0.2,0.25,0.3,0.35,0.4,0.45,0.5,MinSolv_1,MinSolv_2,Hbonds
L-alpha-alanine,0.01757434056315857,0.03874313724688356,0.12591901719989948,0.18526752405929753,0.2552499932345797,0.35259699112862286,0.4422160191611281,0.03122039528087965,0.15901145140697273,0.06867871668191679
L-valine,0.012258949005446124,0.027274658412034317,0.10888710899847368,0.17069890605167473,0.22783823930410368,0.29576932064021133,0.3625222971922225,0.021854943139764504,0.1617697236430973,0.048304459651832346
L-leucine,0.01232225480907926,0.025237786021587293,0.1095036466307957,0.16682977337789534,0.221671038545205,0.28287941182929943,0.34583515277187693,0.019914943085843347,0.17426542862560498,0.04682551439776852
L-isoleucine,0.010441958775860374,0.024761040659753347,0.10190642548965395,0.16056683658913395,0.22017456618228554,0.2818925994063758,0.3435689740038491,0.020164133098581494,0.17452146365051185,0.0412025586037371
L-proline,0.009333793670685266,0.023614317436539564,0.11839785581851756,0.1790605470589136,0.23826041890191096,0.31321055192057307,0.38687278643967865,0.01582707741867479,0.17603914230266537,0.05407337680654991
L-methionine,0.011273287229746222,0.02377230547357216,0.1009127148409263,0.15979241068698635,0.22026312755004657,0.28139151018077024,0.34545356515097525,0.02003604118605089,0.133148573706984,0.04438595003978024
L-phenylalanine,0.010358388594857033,0.022094708522410772,0.09373429120387926,0.15508720065373358,0.20981896202528552,0.26903492619802855,0.3268002107482375,0.017359340487802594,0.1912653839018133,0.03863476204837787
L-tryptophan,0.010939160590626664,0.024981510516872286,0.08823661412292756,0.1462041047697888,0.19965115466139507,0.2533918983188287,0.3070032259762074,0.01873341186715115,0.16542459136944793,0.035984125602024186
L-threonine,0.015883234373712175,0.03633066731602954,0.11871502133329061,0.17147236085200354,0.2332284873428191,0.30499442578580166,0.38470472781262044,0.031417877801122394,0.1480882532518249,0.06221059958670035
L-serine,0.022108659590640033,0.04423682772571582,0.12107006419908163,0.17549497047648785,0.2475214881010779,0.33692172928170294,0.4253867251195483,0.03889206496905301,0.14288941383924295,0.07557721279539961
L-cysteine,0.015142245807433664,0.03724972560605551,0.10946124498650851,0.16300824366723596,0.23340233453415082,0.3117344202967331,0.3907990300772283,0.03058162681785768,0.124896275469494,0.05659195363370689
L-glutamine,0.014157463665523753,0.03550920939015874,0.11239820958071484,0.16238058588665666,0.2186641995503442,0.2850987055341075,0.3599683474844546,0.028619109724981676,0.14042713098377516,0.06294566771471363
L-glycine,0.025102577524801464,0.04619348364855919,0.14632535528103607,0.1995539917101917,0.2824785361850446,0.40011043158578324,0.5132988656379155,0.04044757476861874,0.16755370727939276,0.0910942938993211
L-asparagine,0.0166518656201633,0.04037969629070443,0.11510455136542493,0.16432375880402852,0.22952176548650086,0.3036475548915445,0.37988267351180616,0.035788507165712476,0.13745423750737762,0.06832441507531653
L-histidine,0.0155978323211377,0.03476604589935089,0.1070083921123302,0.15628069927104293,0.21829845252275554,0.28589740368273076,0.35343089736467526,0.025608479855132985,0.13324453841419526,0.05779737355019198
L-lysine,0.02373105494049537,0.04534301449152947,0.1184230506355282,0.1627167952142551,0.21765605778861674,0.28948505980227646,0.3567040703512084,0.038446015163577936,0.1423497853405364,0.05599090675815498
L-arginine,0.023311191576693945,0.0479202687307915,0.1075598494831602,0.1554773752451452,0.21446892984662283,0.283390932454725,0.34728461200901056,0.04123517669499828,0.12785394952073847,0.0572649512539635
L-glutamate,0.009406782194932212,0.023629409205491544,0.12007358041528034,0.1559585243916449,0.20979767072065417,0.28743321547642847,0.36680448995548565,0.016709570792198297,0.13682510454502683,0.08643887462607816
L-aspartate,0.012561559686815328,0.029878900184660055,0.12809244467943162,0.15993094043564557,0.21649456551963175,0.3009723277001945,0.38857125109786145,0.023364413214020396,0.14075280150358307,0.10069388874132092
Beta-alanine,0.02222901743904975,0.04503389094253443,0.14869390947463829,0.19909286659428307,0.2693877905911874,0.3699339538795075,0.46674026319143036,0.03526131205817646,0.16778516032909088,0.0895932202546934
Betaine,8.40449136018288e-05,0.03132388339080611,0.1147131815558918,0.16838844243090414,0.22377092388905087,0.2886171921402909,0.36339005703469296,0.015740790486625897,0.1607691934730789,0.035557336108327606
4-fluoro-DL-phenylalanine,0.009047193409795491,0.02322128034555717,0.0901874203841245,0.1518347550419085,0.20561861660268754,0.2634784148057455,0.31711912994856095,0.015151351300288139,0.192287928226945,0.03806574151530842
4-chloro-L-phenylalanine,0.011051616847689865,0.02814840367291769,0.09541884148253224,0.1542943630295304,0.20927533304114962,0.26706915385868774,0.32564552491095583,0.01824609103363749,0.2001827838052575,0.03574324671710002
4-amino-L-phenylalanine,0.011225087153067146,0.029574919996839668,0.09870179046120249,0.15143495266395984,0.20411085441842144,0.26384531370616143,0.3224664435213039,0.023458393551671897,0.13914813054828754,0.04955874650578436
4-cyano-L-phenylalanine,0.008542062713566055,0.019342383043179524,0.08115199239912135,0.142625357103212,0.20098732937139008,0.25550091981776535,0.31342528713983403,0.01583498760684568,0.2304551141763969,0.03834322878032914
L-tert-leucine,0.010569284196918872,0.025181054858622168,0.10206174053121966,0.16086305967565692,0.21701706136676802,0.2728340597207078,0.3332491314437199,0.01960165486581945,0.17393222173509756,0.041038825644241
N-methyl-L-alanine,0.008085496742196475,0.02202529746003149,0.10791560654723904,0.17572534437519388,0.24316324690642854,0.3170338246316197,0.39369392538781256,0.017027488799849267,0.17880529349678587,0.04992237029820502
