Name,0.2,0.25,0.3,0.35,0.4,0.45,0.5,MinSolv_1,MinSolv_2,Hbonds
4-Methoxyphenyl ß-D-galactopyranoside,0.006627150833652065,0.01747838231380833,0.08079796315657357,0.14136559508428706,0.19017287491365079,0.2364504895067943,0.27988983490498903,0.012112623418470725,0.22986341080425987,0.031050156421665438
4-Methoxyphenyl ß-D-glucopyranoside,0.005803331257612942,0.016938497907894697,0.07849533214685009,0.13748940531697854,0.1858987313040663,0.2314585342445435,0.2772545634279872,0.011884134845157735,0.22383505804433546,0.030401887163010156
4-Methoxyphenyl α-D-galactopyranoside,0.0073027649528866305,0.017331299819395733,0.079159097715155,0.13869787300880446,0.18733787498620702,0.2313584156929172,0.2765671632386461,0.0123975515838881,0.22113456947403395,0.0300878793070829
4-Methoxyphenyl α-D-glucopyranoside,0.006243347477193081,0.015850872455138002,0.07933128546759063,0.13985248548829318,0.18791886848801773,0.2325933122360275,0.27829147851832725,0.010828281866059714,0.22223576807946632,0.027193131874798347
4-Bromophenyl ß-D-glucopyranoside,0.009845104769710627,0.021837973707270496,0.07480673090736889,0.1332338177279396,0.18401927089514733,0.22787303855926677,0.27378237520712445,0.01503034251019868,0.21644307040121835,0.025607831144976195
4-Chlorophenyl β-D-glucopyranoside,0.00858623005742234,0.021423028522863315,0.07857056442445715,0.13605681889233742,0.18626223099998382,0.23003248730213005,0.27611709980322585,0.014201111222882814,0.21314547246330798,0.025969635419443384
4-Fluorophenyl ß-D-glucopyranoside,0.007112636801874203,0.018100652722482763,0.07220624716146716,0.13282112077883518,0.1830908765528738,0.22528061783538164,0.2710710959971239,0.012195520026332857,0.2195483711436617,0.02758730882835095
4-Hydroxyphenyl ß-D-glucopyranoside,0.009675017673517462,0.02040909365945217,0.07376330169603404,0.12987647520725962,0.18033063471695662,0.226623471304337,0.27263596115052235,0.016506649948621336,0.2199646339294327,0.033822113790379034
4-Methylphenyl ß-D-glucopyranoside,0.006677948535482928,0.017006216887074002,0.08097904047736705,0.1444194405001628,0.19258526341023874,0.23476082975772017,0.27934567085060197,0.012088206340168552,0.22845052935938642,0.028194976605284413
Phenyl ß-D-glucopyranoside,0.007532602679875085,0.017709508524810298,0.07499665982191744,0.13619594354466236,0.1857136973497206,0.22792455954907456,0.2727337874428271,0.013125005636091975,0.22095967030400762,0.025900106055393876
4-(Methoxycarbonyl)phenyl ß-D-glucopyranoside,0.005101227644511624,0.014205635013105265,0.07621275002329952,0.1370067624569853,0.18509907683673504,0.23054622117798293,0.27464651007280955,0.0099445206945829,0.2192043027396239,0.026903778644427577
4-Trifluoromethylphenyl ß-D-glucopyranoside,0.007171341270126926,0.015115901523461827,0.06696045621522818,0.12729477268110506,0.1756533591913416,0.21950466507028055,0.26293863839400844,0.01168258364690373,0.2135665679811239,0.023951381538277302
4-Nitrophenyl ß-D-glucopyranoside,0.006796824188839951,0.015106328042905882,0.06668696414186756,0.1288846832406935,0.1777488058563016,0.2189088012142964,0.260697930971972,0.011409488529631482,0.2173977895826973,0.02572110584572759
4-Bromophenyl ß-D-galactopyranoside,0.010159406905076081,0.02298514078420759,0.07709640769113954,0.13391394959491254,0.18438075307603627,0.22599437124403413,0.27168980680808147,0.01606508037075154,0.21530749613923195,0.02586030602210272
4-Chlorophenyl ß-D-galactopyranoside,0.009282964129144956,0.02281071691913763,0.078557264151878,0.1366412608328405,0.1862677229557968,0.22834302938276077,0.273064656961495,0.015181356037007482,0.21889654122954638,0.026027674726635266
4-Fluorophenyl β-D-galactopyranoside,0.007358431311348061,0.018295751525505766,0.07405643969638602,0.13399187332452367,0.18203752642068835,0.22095242471193724,0.26526453924062904,0.0120524473843835,0.2151813305640564,0.026857440866237193
4-Hydroxyphenyl ß-D-galactopyranoside,0.009670667340371463,0.02104445208379419,0.07469493247834415,0.13068319408458673,0.1789803959221449,0.22472806519270275,0.2704788096623425,0.016759283541895285,0.22273501508660093,0.0321543770436342
4-Methylphenyl β-D-galactopyranoside,0.0069253374197625625,0.01810690993701579,0.08030877373437302,0.1403034121366441,0.1912751845699879,0.2348276729787436,0.2814504586188904,0.012904884540748863,0.22798859168327026,0.028514859431327814
Phenyl β-D-galactopyranoside,0.007403852873005427,0.016876473670246372,0.07439624648797255,0.1311198854511667,0.18279424307307882,0.22634385938669588,0.26994000429626913,0.012647511867945348,0.22414159244298837,0.027364170771762623
Methyl 4-(β-D-galactopyranosyloxy)benzoate,0.005567918130131038,0.015826074977825785,0.07503129994364165,0.1352980700331764,0.18582207566364972,0.22890478471226341,0.27379654849776786,0.011173339579542968,0.22219924874766536,0.029601240238563156
4-Acetamidophenyl β-D-galactopyranoside,0.007476368041493062,0.019347562755685065,0.07993931603199707,0.1387216814255552,0.1880539754618849,0.2320466679380715,0.2745200889022299,0.014339091487895507,0.22515061252387325,0.032490509378507594
4-(Trifluoromethyl)phenyl β-D-galactopyranoside,0.005861632101392018,0.0150801128889358,0.06827656966724435,0.12941984080105715,0.17640324242569394,0.21729282674440448,0.259337315859557,0.010990237983792664,0.21544328705306456,0.023216718265139068
4-Nitrophenyl β-D-galactopyranoside,0.006591450926442165,0.015014728363721166,0.06552026121348217,0.12875227306803727,0.1775872646487388,0.21839105855408966,0.2601956727076055,0.011955787378426785,0.20813933144590915,0.02685630686151157
3-Methylphenyl ß-D-glucopyranoside,0.005990468074715328,0.01670170730335959,0.08069106887456412,0.14152763071883806,0.19044841691635297,0.23190591851011763,0.27697252050384286,0.01194075472871696,0.2209526206900762,0.02622826689677455
