L-serine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0042,0.0279,0.1675,0.5732,1.1933,1.7918,2.1565,2.2347,2.02,1.8148,1.5257,1.2391,1.0185,0.8539,0.7848,0.665,0.6799,0.7854,1.1044,1.9983,3.2883,4.482,5.1084,5.0762,4.5617,4.0447,3.6169,3.0842,2.7994,2.5745,2.4290000000000003,2.4538,2.4736,2.4854,2.4621,2.5975,2.6305,2.7982,2.7275,2.8568,2.9792,3.0727,3.2445,3.2319999999999998,3.3855,3.4668,3.7322,3.6198,3.8761,3.9299,3.9358,4.1299,4.1021,4.2078,4.2316,4.3228,4.2232,4.2492,4.2529,4.1339,4.2369,4.0591,4.1395,3.9831,4.0159,4.0657,4.0471,3.9225,4.0126
L-cysteine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019,0.0285,0.1877,0.491,0.9675,1.3938,1.8074,1.795,1.6926,1.5603,1.3072,1.1612,0.9911,0.8663,0.8125,0.7702,0.8324,0.9454,1.3315,2.1975,3.437,4.6389,5.0943,4.9243,4.2658,3.8026,3.4176,2.7995,2.6331,2.4798,2.4122,2.44,2.4333,2.5678,2.6871,2.8674,2.7727,3.0279,3.2075,3.3849,3.4662,3.4733,3.4903,3.7398,3.745,3.8074,3.8848,3.8835,3.9954,3.945,3.9636,4.0717,4.1214,4.128,4.1054,4.1728,4.1626,4.0234,3.9917,3.9834,3.9999,3.9792,3.9389,3.9162,3.8606,3.927,3.9636,3.8449,3.9801
L-glutamine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.023,0.1309,0.4456,0.8988,1.3539,1.6679,1.7325,1.7213,1.6559,1.4686,1.2582,1.1335,0.9508,0.9785,0.8562,0.9092,1.0969,1.3977,2.2857,3.7047,5.1497,5.7423,5.4943,5.0654,4.4731,3.7774,3.375,3.1703,3.0356,2.7608,2.7316,2.7781,2.7988,2.7846,2.8034,2.8416,2.8496,2.8952,2.8326,2.9648,3.0237,3.1415,3.2788,3.2835,3.361,3.5135,3.4622,3.5024,3.5393,3.6211,3.7611,3.7888,3.8317,3.8760000000000003,3.9893,3.9329,3.8891,3.8926,3.8745,3.8943,3.847,3.9243,3.8208,3.9069,3.9484,4.0888,3.9825,4.0271
L-glycine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.0582,0.3021,0.7745,1.3557,1.9563,2.0286,1.9885,1.754,1.4958,1.2396,0.9204,0.8375,0.6488,0.624,0.5548,0.5054,0.6867,1.1389,2.2218,3.9255,5.1582,5.3811,5.0428,4.3184,3.5898,3.0127,2.5541,2.2661,2.1685,2.0977,1.9369,2.0706,2.0037,2.0145,2.1812,2.2753,2.3957,2.4639,2.6984,2.7721,2.9127,3.0876,3.2753,3.3531,3.6009,3.7267,3.9948,4.1757,4.2811,4.3611,4.5104,4.5154,4.5815,4.5967,4.6835,4.6796,4.5962,4.7393,4.5466,4.5655,4.5136,4.3796,4.2132,4.309,4.1514,4.051,4.1458,4.0272
L-asparagine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0196,0.138,0.4542,0.9192,1.3773,1.722,1.8575,1.8553,1.8177,1.5947,1.3793,1.2552,1.1351,1.0558,1.022,0.9799,1.0715,1.435,2.3102,3.4853,4.9453,5.3778,5.4313,4.7859,4.106,3.6229,3.0873,2.8802,2.6804,2.5879,2.6198,2.6123,2.5116,2.7072,2.6647,2.7753,2.8707,2.7773,2.9347,2.8663,2.9674,3.1479,3.2559,3.304,3.4437,3.4873,3.5766,3.5982,3.6969,3.8905,3.8291,3.847,3.9518,4.0183,4.0348,4.1278,3.9413,4.023,4.1054,3.9985,4.0258,3.9257,3.8774,3.9248,4.1249,4.1232,3.9739999999999998,4.0468
L-histidine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0229,0.1707,0.4902,0.9625,1.4706,1.7530000000000001,1.8051,1.7686,1.5323,1.3356,1.1203,1.0295,0.9459,0.9324,0.9714,1.0588,1.2043,1.4808,2.2393,3.4134,4.4206,4.8964,5.044,5.0518,4.6145,4.3355,3.8595,3.4011,3.1516,2.8228,2.7569,2.7582,2.6183,2.7347,2.7196,2.6461,2.8494,2.8710000000000004,2.9739,3.002,3.0767,3.1607,3.3369999999999997,3.3615,3.4396,3.412,3.5724,3.7202,3.6906,3.7123,3.7857,3.8772,3.8945,3.9627,3.9946,3.8492,3.9437,3.9166,3.9265,3.9187,3.7996,3.9142,3.9343,3.9111,3.8827,3.8597,3.9163,3.9899
L-lysine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0095,0.0751,0.376,1.0408,1.8434,2.4317,2.7809,2.4859999999999998,2.2081,1.9047,1.6453,1.3197,1.1377,0.8958,0.8664,0.9002,0.943,1.2119,1.6979,2.6334,3.8595,4.9062,5.2781,5.0188,4.6079,4.0947,3.5546,3.2067,2.8741,2.6860000000000004,2.5479,2.4906,2.4712,2.4284,2.4798,2.4314,2.5473,2.6179,2.6996,2.7230000000000003,2.7899,2.9021,3.0317,3.2188,3.2625,3.4039,3.6005,3.6706,3.6767,3.8458,3.9762,4.0197,4.0344,4.0681,4.003,3.9930000000000003,3.9807,3.9808,3.8806,3.957,3.665,3.6891,3.5816,3.7218,3.5989,3.5978,3.5973,3.6151,3.7057
L-arginine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013,0.0247,0.1825,0.6727,1.4371,2.3442,2.9228,3.1187,2.753,2.4697,2.1021,1.6639,1.3287,1.0871,0.9123,0.8122,0.8562,1.0285,1.3749,2.1074,3.1639999999999997,4.0292,4.3232,4.3058,3.9158,3.5783,3.2867,2.9521,2.8469,2.7759,2.7617,2.7361,2.7396,2.7955,2.8311,2.9046,3.0005,3.0079,3.0095,3.1129,3.1517,3.2949,3.3306,3.3949,3.3897,3.6062,3.5836,3.6485,3.7661,3.793,3.9111,3.8219,3.8694,3.948,3.9591,3.9251,3.9291,3.8719,3.8622,3.7998,3.6663,3.7021,3.6749,3.5644,3.6251,3.615,3.5898,3.6753,3.7521
L-glutamate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024,0.0156,0.0921,0.3482,0.6468,0.9402,1.1289,1.1637,1.1182,0.9411,0.7639,0.6249,0.5784,0.4408,0.4082,0.4059,0.4518,0.7033,1.6753,3.8793,6.5423,8.3464,8.3755,7.3765,5.6928,4.4466,3.6164,2.9648,2.4717,2.2643,2.166,2.0031,2.0106,1.9302,1.9998,1.9809,2.0882,2.1126,2.1206,2.2936,2.4259,2.5352,2.5965,2.7108,2.9149,3.0989,3.2877,3.387,3.5061,3.8557,3.7854,4.0079,4.1377,4.3296,4.3311,4.4159,4.545,4.4364,4.4688,4.4892,4.5202,4.3726,4.1855,4.2114,4.1122,4.1952,4.0959,3.9697,3.9395
L-aspartate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018,0.0257,0.1278,0.3473,0.7998,1.1078,1.3496,1.4153,1.2943,1.1368,0.9302,0.8267,0.6727,0.6727,0.524,0.5104,0.5222,0.6995,1.6363,3.8106,6.492999999999999,8.1371,8.1841,7.1533,5.6225,4.2796,3.2532,2.5282,2.1161,1.7702,1.7047,1.5571,1.5936,1.6205,1.6253,1.7437,1.8188,1.8098,2.0152,2.1747,2.2606,2.3966,2.5540000000000003,2.7842,2.7682,3.0058,3.2873,3.4032,3.7251,3.8422,4.0132,4.2163,4.2747,4.4339,4.5544,4.6616,4.5663,4.7943,4.6917,4.7915,4.6882,4.667,4.4513,4.5304,4.2971,4.3638,4.185,4.1063,4.0733
